"","target","source","flow"
"1","AD","AT",3
"2","AD","CH",2
"3","AD","DE",1
"4","AD","ES",9
"5","AD","FR",4
"6","AD","IT",6
"7","AD","NL",1
"8","AD","TH",1
"9","AE","AR",1
"10","AE","AT",6
"11","AE","AU",1
"12","AE","BJ",1
"13","AE","BR",3
"14","AE","CH",59
"15","AE","CN",1
"16","AE","CO",4
"17","AE","DE",17
"18","AE","ES",18
"19","AE","FR",73
"20","AE","GB",34
"21","AE","GR",5
"22","AE","HK",5
"23","AE","ID",5
"24","AE","IT",93
"25","AE","JP",2
"26","AE","KE",1
"27","AE","KR",1
"28","AE","KW",11
"29","AE","LB",2
"30","AE","MX",8
"31","AE","MY",2
"32","AE","NL",16
"33","AE","NO",1
"34","AE","SG",8
"35","AE","SM",2
"36","AE","SN",5
"37","AE","TH",11
"38","AE","TR",4
"39","AE","US",10
"40","AE","VN",2
"41","AE","ZA",5
"42","AG","CH",3
"43","AG","US",1
"44","AI","US",1
"45","AL","AT",2
"46","AL","CH",2
"47","AL","DE",1
"48","AL","ES",1
"49","AL","FR",1
"50","AL","IT",4
"51","AM","AT",4
"52","AM","BR",2
"53","AM","CH",8
"54","AM","DE",3
"55","AM","ES",3
"56","AM","FR",5
"57","AM","GB",5
"58","AM","IT",23
"59","AO","CH",2
"60","AO","FR",3
"61","AO","PT",4
"62","AO","TH",1
"63","AO","ZA",2
"64","AR","AT",2
"65","AR","CH",11
"66","AR","CO",1
"67","AR","DE",1
"68","AR","ES",1
"69","AR","FR",8
"70","AR","IT",1
"71","AR","TH",1
"72","AR","TR",2
"73","AR","US",1
"74","AT","AU",3
"75","AT","BR",1
"76","AT","CA",1
"77","AT","CH",29
"78","AT","CN",3
"79","AT","HK",6
"80","AT","JP",3
"81","AT","KR",2
"82","AT","LB",2
"83","AT","MX",2
"84","AT","MY",1
"85","AT","NO",1
"86","AT","PE",1
"87","AT","SG",3
"88","AT","TH",3
"89","AT","TR",2
"90","AT","US",2
"91","AT","ZA",1
"92","AT","ZW",4
"93","AU","AR",3
"94","AU","AT",2
"95","AU","BE",1
"96","AU","BR",2
"97","AU","CA",6
"98","AU","CH",50
"99","AU","CN",2
"100","AU","CO",2
"101","AU","DE",7
"102","AU","DK",4
"103","AU","ES",5
"104","AU","FR",44
"105","AU","GB",5
"106","AU","HK",22
"107","AU","ID",4
"108","AU","IS",1
"109","AU","IT",45
"110","AU","JP",5
"111","AU","KR",1
"112","AU","LA",2
"113","AU","LU",1
"114","AU","MO",1
"115","AU","MU",1
"116","AU","MW",1
"117","AU","MX",1
"118","AU","MY",1
"119","AU","NL",14
"120","AU","NZ",9
"121","AU","PF",1
"122","AU","PH",1
"123","AU","PY",1
"124","AU","RU",1
"125","AU","SG",45
"126","AU","TD",1
"127","AU","TH",19
"128","AU","TW",3
"129","AU","US",15
"130","AU","VE",1
"131","AU","VN",3
"132","AU","ZA",10
"133","AU","ZW",1
"134","AW","CH",40
"135","AW","DE",4
"136","AW","FR",6
"137","AW","HK",3
"138","AW","NL",4
"139","AW","US",13
"140","AZ","AT",4
"141","AZ","CH",24
"142","AZ","DE",11
"143","AZ","ES",2
"144","AZ","FR",18
"145","AZ","GB",9
"146","AZ","IT",52
"147","AZ","KR",1
"148","AZ","NL",2
"149","AZ","TH",2
"150","BA","AT",1
"151","BA","CH",1
"152","BA","IT",2
"153","BB","CH",3
"154","BB","FR",6
"155","BB","US",1
"156","BD","CH",1
"157","BD","TH",2
"158","BE","AU",2
"159","BE","CA",8
"160","BE","CH",16
"161","BE","FR",2
"162","BE","HR",1
"163","BE","MA",2
"164","BE","MX",4
"165","BE","TH",3
"166","BE","TR",2
"167","BE","US",1
"168","BE","ZA",7
"169","BF","FR",1
"170","BF","IT",1
"171","BG","CH",10
"172","BG","CN",1
"173","BG","ID",2
"174","BG","TH",2
"175","BH","AE",1
"176","BH","AT",1
"177","BH","CH",21
"178","BH","CO",1
"179","BH","DE",1
"180","BH","FR",19
"181","BH","GB",4
"182","BH","IT",18
"183","BH","JP",1
"184","BH","NL",3
"185","BH","TH",4
"186","BH","US",8
"187","BL","FR",2
"188","BL","IT",24
"189","BL","US",4
"190","BM","CH",2
"191","BM","IT",1
"192","BM","US",5
"193","BN","CH",3
"194","BN","FR",7
"195","BN","IT",1
"196","BN","SG",2
"197","BN","TH",3
"198","BN","US",1
"199","BO","BR",1
"200","BO","CH",2
"201","BO","CO",1
"202","BO","DE",1
"203","BO","IT",1
"204","BO","US",1
"205","BR","AT",4
"206","BR","BO",2
"207","BR","CH",33
"208","BR","ES",7
"209","BR","FR",36
"210","BR","GB",15
"211","BR","ID",6
"212","BR","IT",29
"213","BR","KR",1
"214","BR","MX",2
"215","BR","MY",1
"216","BR","NL",6
"217","BR","PT",1
"218","BR","SG",9
"219","BR","SN",1
"220","BR","TH",3
"221","BR","US",4
"222","BR","UY",1
"223","BS","CH",13
"224","BS","DE",1
"225","BS","IT",5
"226","BS","NL",1
"227","BS","US",6
"228","BW","FR",1
"229","BY","AT",3
"230","BY","CH",6
"231","BY","DE",2
"232","BY","FR",1
"233","BY","GB",1
"234","BY","IT",19
"235","BY","NL",1
"236","BY","SM",1
"237","BY","TH",2
"238","BZ","CH",4
"239","BZ","TH",1
"240","BZ","US",5
"241","CA","AT",6
"242","CA","AU",3
"243","CA","BR",2
"244","CA","CH",34
"245","CA","CN",1
"246","CA","CO",7
"247","CA","DE",5
"248","CA","DK",1
"249","CA","ES",7
"250","CA","FR",34
"251","CA","GB",3
"252","CA","GR",1
"253","CA","IT",42
"254","CA","JP",4
"255","CA","KR",1
"256","CA","MX",9
"257","CA","MY",1
"258","CA","NL",2
"259","CA","PH",2
"260","CA","RU",3
"261","CA","SG",1
"262","CA","SN",2
"263","CA","TH",5
"264","CA","TR",2
"265","CA","US",54
"266","CA","VN",2
"267","CA","ZA",4
"268","CD","CH",1
