Country,origin
Argentina,646
Australia,484
Austria,12
Austria-Hungary,32
Baden,32
Bavaria,32
Bolivia,307
Brazil,12
Brunswick,32
Cambodia,5
Cameroon,70
Canada,45
Chad,289
Channel Islands,32
China,20
Colombia,738
Czechoslovakia,32
France,8
German Democratic Republic,32
Germany,1
Guyana,22
Hamburg,32
Hanover,32
Hesse-Darmstadt,32
Hesse-Kassel,32
Hesse Electoral,32
Hesse Grand Ducal,32
India,3
Indonesia,1918
Israel,12
Italy,7
Japan,5
Kenya,32
Kosovo,32
Laos,408
Madagascar,48
Malawi,17
Malaysia,687
Mali,240
Mecklenburg Schwerin,32
Mexico,1
Modena,32
Mozambique,95
Nassau,32
Netherlands Antilles,32
Nigeria,6
Oldenburg,32
Orange Free State,32
Panama,3
Papua New Guinea,447
Paraguay,38
Parma,32
Peru,101
Philippines,9
Piedmont-Sardinia,32
Prussia,32
Republic of Vietnam,32
Russia,2
Sardinia,32
Saxe-Weimar-Eisenach,32
Saxony,32
Serbia and Montenegro,32
Singapore,54
Somaliland,32
South Africa,378
Sudan,107
Switzerland,4
Tanzania,22
Thailand,371
Togo,25
Tuscany,32
Two Sicilies,32
Uganda,1
United Arab Republic,32
United Province CA,32
United States,1787
Venezuela,253
Vietnam,1341
Wuerttemburg,32
W??rtemberg,32
Yemen Arab Republic,32
Yemen People's Republic,32
Yugoslavia,32
Zambia,160
Zanzibar,32
Zimbabwe,754
NA,2085
