Country,exporter
Argentina,77
Australia,221
Austria,195
Belgium,46
Bolivia,44
Botswana,4
Brazil,88
Canada,226
Chad,5
Chile,6
China,203
Colombia,201
Denmark,66
Estonia,2
Finland,1
France,1807
Germany,361
Greece,14
Hong Kong SAR China,292
India,12
Indonesia,243
Ireland,8
Israel,9
Italy,2582
Japan,350
Kenya,7
Kuwait,1
Lebanon,32
Luxembourg,14
Macau SAR China,24
Madagascar,19
Malawi,9
Malaysia,112
Mali,10
Mauritius,40
Mexico,270
Monaco,6
Morocco,15
Mozambique,5
Netherlands,191
New Zealand,10
Nicaragua,15
Nigeria,5
Norway,5
Panama,4
Papua New Guinea,10
Peru,21
Philippines,91
Portugal,28
Qatar,3
Romania,2
Russia,8
San Marino,4
Senegal,64
Singapore,820
Slovenia,18
South Africa,210
South Korea,337
Spain,377
Sweden,5
Switzerland,2097
Thailand,505
Tunisia,10
Turkey,89
Ukraine,12
United Arab Emirates,92
United Kingdom,360
United States,774
Venezuela,3
Vietnam,107
Zambia,8
Zimbabwe,48
