"","target","source","flow"
"1","AD","AT",2
"2","AD","CH",5
"3","AD","DE",2
"4","AD","ES",6
"5","AD","FR",2
"6","AD","IT",1
"7","AD","NL",1
"8","AE","AT",2
"9","AE","BE",1
"10","AE","BR",3
"11","AE","CH",47
"12","AE","CO",3
"13","AE","DE",16
"14","AE","DK",1
"15","AE","ES",9
"16","AE","FR",60
"17","AE","GB",22
"18","AE","HK",9
"19","AE","ID",6
"20","AE","IN",1
"21","AE","IT",73
"22","AE","JP",2
"23","AE","KW",9
"24","AE","MU",1
"25","AE","NL",10
"26","AE","PT",2
"27","AE","QA",6
"28","AE","SG",6
"29","AE","SM",1
"30","AE","TH",14
"31","AE","TR",2
"32","AE","US",6
"33","AE","ZA",3
"34","AF","FR",1
"35","AG","CH",1
"36","AG","US",1
"37","AL","CH",2
"38","AL","DE",2
"39","AL","ES",1
"40","AL","FR",2
"41","AL","IT",8
"42","AL","NL",1
"43","AL","TH",1
"44","AM","AT",3
"45","AM","CH",6
"46","AM","DE",1
"47","AM","ES",6
"48","AM","FR",3
"49","AM","IT",15
"50","AM","SG",2
"51","AM","TH",2
"52","AO","CH",1
"53","AO","DE",1
"54","AO","FR",2
"55","AO","IT",2
"56","AO","ZA",1
"57","AR","CH",5
"58","AR","ES",1
"59","AR","FR",9
"60","AR","MX",5
"61","AR","TH",1
"62","AR","US",3
"63","AT","AU",2
"64","AT","CA",1
"65","AT","CH",22
"66","AT","CN",4
"67","AT","GE",1
"68","AT","HK",5
"69","AT","JP",3
"70","AT","MX",2
"71","AT","MY",1
"72","AT","SG",2
"73","AT","SM",2
"74","AT","TH",1
"75","AT","TW",3
"76","AT","US",2
"77","AT","ZA",2
"78","AU","AT",4
"79","AU","BR",1
"80","AU","CA",2
"81","AU","CH",24
"82","AU","CN",3
"83","AU","CO",1
"84","AU","DE",4
"85","AU","DK",1
"86","AU","ES",9
"87","AU","FR",20
"88","AU","GB",11
"89","AU","HK",15
"90","AU","ID",5
"91","AU","IT",28
"92","AU","JP",4
"93","AU","LU",1
"94","AU","MY",2
"95","AU","NL",11
"96","AU","RO",1
"97","AU","SG",32
"98","AU","TH",12
"99","AU","US",7
"100","AU","VN",2
"101","AU","ZA",2
"102","AW","CH",5
"103","AW","DE",2
"104","AW","FR",3
"105","AW","IT",2
"106","AW","NL",1
"107","AW","US",1
"108","AZ","AT",2
"109","AZ","CH",15
"110","AZ","DE",7
"111","AZ","ES",1
"112","AZ","FR",9
"113","AZ","IT",20
"114","AZ","NL",3
"115","AZ","TH",2
"116","BA","AT",1
"117","BA","CH",1
"118","BA","IT",2
"119","BB","CH",1
"120","BB","FR",1
"121","BB","US",1
"122","BD","CH",1
"123","BD","JP",1
"124","BD","TH",5
"125","BD","ZA",1
"126","BE","AE",1
"127","BE","CA",3
"128","BE","CH",16
"129","BE","CN",2
"130","BE","HK",13
"131","BE","ID",2
"132","BE","JP",3
"133","BE","KW",5
"134","BE","MA",1
"135","BE","MG",1
"136","BE","MO",1
"137","BE","PE",1
"138","BE","SG",3
"139","BE","TH",4
"140","BE","US",2
"141","BE","ZA",6
"142","BG","CH",10
"143","BG","ID",1
"144","BG","TH",4
"145","BH","AT",1
"146","BH","CH",19
"147","BH","CO",2
"148","BH","DE",2
"149","BH","ES",5
"150","BH","FR",22
"151","BH","GB",3
"152","BH","ID",3
"153","BH","IT",14
"154","BH","JP",1
"155","BH","NL",4
"156","BH","SG",1
"157","BH","TH",3
"158","BL","FR",11
"159","BL","IT",31
"160","BL","US",2
"161","BM","CH",5
"162","BM","GB",2
"163","BM","IT",1
"164","BM","US",1
"165","BN","CH",1
"166","BN","DE",1
"167","BN","FR",2
"168","BN","IT",1
"169","BN","MY",1
"170","BN","SG",2
"171","BN","TH",2
"172","BO","CH",2
"173","BO","IT",3
"174","BO","MX",4
"175","BO","US",1
"176","BR","AT",2
"177","BR","CH",17
"178","BR","DE",2
"179","BR","ES",4
"180","BR","FR",30
"181","BR","GB",2
"182","BR","ID",3
"183","BR","IT",21
"184","BR","LU",1
"185","BR","MX",5
"186","BR","MY",3
"187","BR","NL",1
"188","BR","SG",2
"189","BR","TH",1
"190","BR","US",2
"191","BR","VN",1
"192","BR","ZA",1
"193","BS","CH",2
"194","BS","IT",6
"195","BS","US",1
"196","BT","TH",1
"197","BW","ZA",1
"198","BY","AT",1
"199","BY","CH",2
"200","BY","DE",1
"201","BY","ES",1
"202","BY","IT",8
"203","BY","TH",2
"204","BZ","CH",2
"205","BZ","DE",1
"206","BZ","TH",1
"207","BZ","US",1
"208","CA","AT",7
"209","CA","BE",7
"210","CA","BR",5
"211","CA","CH",28
"212","CA","CN",2
"213","CA","CO",7
"214","CA","CZ",1
"215","CA","DE",7
"216","CA","ES",7
"217","CA","FI",6
"218","CA","FR",25
"219","CA","GB",7
"220","CA","GR",1
"221","CA","HK",6
"222","CA","ID",1
"223","CA","IT",37
"224","CA","JP",3
"225","CA","NL",7
"226","CA","SG",2
"227","CA","TH",5
"228","CA","US",62
"229","CD","CH",1
"230","CD","FR",1
"231","CG","CH",1
"232","CG","FR",2
"233","CG","IT",1
"234","CH","AE",36
"235","CH","AR",1
"236","CH","AT",18
"237","CH","AU",2
"238","CH","AZ",2
"239","CH","BE",2
"240","CH","BR",2
"241","CH","CA",2
"242","CH","CL",1
"243","CH","CN",5
"244","CH","CY",2
"245","CH","CZ",1
"246","CH","DE",37
"247","CH","DK",1
"248","CH","EE",1
"249","CH","ES",18
"250","CH","FI",1
"251","CH","FR",76
"252","CH","GB",31
"253","CH","GE",4
"254","CH","GR",5
"255","CH","HK",26
"256","CH","ID",5
"257","CH","IE",1
"258","CH","IL",1
"259","CH","IN",1
"260","CH","IT",109
"261","CH","JP",20
"262","CH","KR",7
"263","CH","KW",5
"264","CH","LB",1
"265","CH","LU",1
"266","CH","MA",1
"267","CH","MC",10
"268","CH","MD",1
"269","CH","MG",6
"270","CH","MO",3
"271","CH","MT",1
"272","CH","MU",6
"273","CH","MX",6
"274","CH","MY",22
"275","CH","NL",18
"276","CH","NO",1
"277","CH","PL",2
"278","CH","PT",8
"279","CH","QA",13
"280","CH","RE",1
"281","CH","RO",1
"282","CH","RS",1
"283","CH","RU",6
"284","CH","SA",1
"285","CH","SG",19
"286","CH","SI",3
"287","CH","TH",18
"288","CH","TR",2
"289","CH","UA",1
"290","CH","US",18
"291","CH","UY",4
"292","CH","VN",2
"293","CH","ZA",5
"294","CI","CH",1
"295","CI","FR",4
"296","CL","CH",9
"297","CL","ES",2
"298","CL","FR",10
"299","CL","HK",1
"300","CL","IT",4
"301","CL","TH",2
"302","CL","US",3
"303","CM","FR",3
"304","CM","IT",1
"305","CN","AT",4
"306","CN","AU",1
"307","CN","BE",14
"308","CN","BO",2
"309","CN","CA",14
"310","CN","CH",47
"311","CN","CO",1
"312","CN","DE",24
"313","CN","EE",1
"314","CN","ES",23
"315","CN","FR",83
"316","CN","GA",1
"317","CN","GB",22
"318","CN","GR",1
"319","CN","ID",10
"320","CN","IT",132
"321","CN","JP",13
