"","target","source","flow"
"1","AD","AT",2
"2","AD","CH",2
"3","AD","DE",1
"4","AD","ES",7
"5","AD","FR",4
"6","AD","IT",12
"7","AD","NL",1
"8","AE","AT",3
"9","AE","AU",1
"10","AE","BR",5
"11","AE","CH",52
"12","AE","CN",3
"13","AE","CO",5
"14","AE","DE",17
"15","AE","ES",12
"16","AE","FI",1
"17","AE","FR",60
"18","AE","GB",19
"19","AE","GR",2
"20","AE","ID",2
"21","AE","IT",77
"22","AE","JP",2
"23","AE","KR",2
"24","AE","KW",8
"25","AE","LB",2
"26","AE","MX",6
"27","AE","NL",11
"28","AE","PT",1
"29","AE","QA",5
"30","AE","SG",2
"31","AE","SM",2
"32","AE","SN",4
"33","AE","TH",11
"34","AE","TR",2
"35","AE","US",8
"36","AE","VN",2
"37","AE","ZA",5
"38","AF","KR",1
"39","AG","CH",2
"40","AG","FR",1
"41","AG","US",1
"42","AI","US",1
"43","AL","CH",2
"44","AL","DE",2
"45","AL","FR",5
"46","AL","IT",6
"47","AL","TH",1
"48","AM","AT",4
"49","AM","CH",6
"50","AM","DE",1
"51","AM","FR",7
"52","AM","IT",23
"53","AO","CH",8
"54","AO","DE",1
"55","AO","FR",6
"56","AO","IT",2
"57","AO","PT",1
"58","AO","ZA",2
"59","AR","AT",2
"60","AR","BR",2
"61","AR","CH",10
"62","AR","CO",1
"63","AR","DE",1
"64","AR","ES",1
"65","AR","FR",11
"66","AR","IT",3
"67","AR","MX",1
"68","AR","TH",2
"69","AR","US",3
"70","AR","ZA",1
"71","AT","BR",1
"72","AT","CH",29
"73","AT","CN",3
"74","AT","HK",6
"75","AT","JP",8
"76","AT","KR",3
"77","AT","LB",2
"78","AT","MX",1
"79","AT","MY",1
"80","AT","SG",3
"81","AT","TH",5
"82","AT","TR",1
"83","AT","TW",1
"84","AT","ZA",4
"85","AU","AR",2
"86","AU","AT",3
"87","AU","BR",4
"88","AU","CA",4
"89","AU","CH",33
"90","AU","CN",1
"91","AU","CO",1
"92","AU","DE",6
"93","AU","DK",5
"94","AU","ES",7
"95","AU","FI",1
"96","AU","FR",42
"97","AU","GB",14
"98","AU","HK",18
"99","AU","ID",2
"100","AU","IT",39
"101","AU","JP",4
"102","AU","KR",6
"103","AU","LB",2
"104","AU","MX",11
"105","AU","MY",1
"106","AU","NL",10
"107","AU","NZ",2
"108","AU","PG",2
"109","AU","PT",1
"110","AU","SG",38
"111","AU","SZ",1
"112","AU","TH",12
"113","AU","TR",1
"114","AU","US",17
"115","AU","VN",3
"116","AU","ZA",11
"117","AW","CH",12
"118","AW","DE",1
"119","AW","IT",7
"120","AW","NL",1
"121","AW","US",3
"122","AZ","AT",4
"123","AZ","BR",3
"124","AZ","CH",28
"125","AZ","CN",3
"126","AZ","DE",5
"127","AZ","FR",20
"128","AZ","GB",7
"129","AZ","IT",44
"130","AZ","NL",4
"131","AZ","TH",1
"132","AZ","US",1
"133","BA","AT",2
"134","BA","CH",3
"135","BA","FR",1
"136","BA","GB",1
"137","BA","IT",3
"138","BB","CH",3
"139","BB","FR",11
"140","BB","IT",1
"141","BB","TH",1
"142","BB","US",1
"143","BD","CH",1
"144","BD","FR",1
"145","BD","JP",1
"146","BD","TH",2
"147","BE","AE",1
"148","BE","AU",2
"149","BE","BR",2
"150","BE","CA",13
"151","BE","CH",14
"152","BE","JP",1
"153","BE","MA",4
"154","BE","MX",2
"155","BE","TH",4
"156","BE","TR",3
"157","BE","US",1
"158","BE","ZA",4
"159","BF","FR",2
"160","BG","AU",1
"161","BG","CH",9
"162","BG","CN",2
"163","BG","ID",1
"164","BG","TH",3
"165","BH","AE",1
"166","BH","CH",16
"167","BH","CO",1
"168","BH","DE",1
"169","BH","ES",2
"170","BH","FR",16
"171","BH","GB",4
"172","BH","IT",15
"173","BH","JP",1
"174","BH","NL",5
"175","BH","TH",5
"176","BH","US",1
"177","BJ","ES",2
"178","BJ","FR",1
"179","BL","IT",19
"180","BL","US",1
"181","BM","CH",1
"182","BM","ES",2
"183","BM","GB",2
"184","BM","IT",5
"185","BM","US",3
"186","BN","FR",7
"187","BO","CH",1
"188","BO","FR",1
"189","BO","US",1
"190","BR","AT",3
"191","BR","CH",29
"192","BR","CN",1
"193","BR","CO",1
"194","BR","DE",1
"195","BR","ES",6
"196","BR","FR",33
"197","BR","GB",3
"198","BR","ID",5
"199","BR","IT",34
"200","BR","MX",1
"201","BR","MY",1
"202","BR","NL",2
"203","BR","SG",6
"204","BR","SN",1
"205","BR","TH",3
"206","BR","US",2
"207","BS","CH",8
"208","BS","DE",1
"209","BS","FR",2
"210","BS","IT",7
"211","BS","NL",2
"212","BS","US",2
