Country,origin
Argentina,500
Australia,527
Austria,9
Austria-Hungary,33
Baden,33
Bavaria,33
Bolivia,331
Brazil,38
Brunswick,33
Cambodia,42
Cameroon,46
Canada,55
Chad,212
Channel Islands,33
China,13
Colombia,588
Czechoslovakia,33
France,13
German Democratic Republic,33
Germany,2
Guyana,15
Hamburg,33
Hanover,33
Hesse-Darmstadt,33
Hesse-Kassel,33
Hesse Electoral,33
Hesse Grand Ducal,33
India,7
Indonesia,1933
Israel,25
Italy,14
Japan,5
Kenya,19
Kosovo,33
Laos,524
Madagascar,36
Malawi,55
Malaysia,543
Mali,246
Mecklenburg Schwerin,33
Mexico,10
Modena,33
Mozambique,87
Nassau,33
Netherlands Antilles,33
Nigeria,5
Oldenburg,33
Orange Free State,33
Panama,7
Papua New Guinea,376
Paraguay,36
Parma,33
Peru,75
Philippines,40
Piedmont-Sardinia,33
Prussia,33
Republic of Vietnam,33
Russia,2
Sardinia,33
Saxe-Weimar-Eisenach,33
Saxony,33
Serbia and Montenegro,33
Singapore,53
Somaliland,33
South Africa,505
Sudan,99
Switzerland,5
Tanzania,18
Thailand,253
Togo,10
Tuscany,33
Two Sicilies,33
Uganda,5
United Arab Republic,33
United Province CA,33
United States,1852
Venezuela,273
Vietnam,1247
Wuerttemburg,33
W??rtemberg,33
Yemen Arab Republic,33
Yemen People's Republic,33
Yugoslavia,33
Zambia,202
Zanzibar,33
Zimbabwe,1022
NA,1640
