Country,exporter
Argentina,41
Australia,47
Austria,184
Belgium,95
Bolivia,16
Botswana,4
Brazil,84
Canada,165
Chad,1
Chile,19
China,158
Colombia,110
Denmark,29
Estonia,15
Finland,21
France,1420
Germany,362
Greece,13
Hong Kong SAR China,436
India,7
Indonesia,163
Ireland,6
Israel,4
Italy,1860
Japan,307
Kenya,3
Kuwait,42
Lebanon,5
Luxembourg,24
Macau SAR China,12
Madagascar,24
Malawi,2
Malaysia,105
Mali,3
Mauritius,21
Mexico,258
Monaco,21
Morocco,9
Mozambique,7
Netherlands,223
New Zealand,14
Nicaragua,11
Nigeria,1
Norway,18
Panama,4
Papua New Guinea,10
Peru,17
Philippines,19
Portugal,31
Qatar,62
Romania,12
Russia,23
San Marino,7
Senegal,21
Singapore,725
Slovenia,7
South Africa,145
South Korea,153
Spain,455
Sweden,6
Switzerland,1648
Thailand,455
Tunisia,6
Turkey,83
Ukraine,14
United Arab Emirates,140
United Kingdom,322
United States,429
Venezuela,7
Vietnam,145
Zambia,3
Zimbabwe,33
