Country,exporter
Argentina,78
Australia,166
Austria,177
Belgium,49
Bolivia,41
Botswana,4
Brazil,150
Canada,226
Chad,5
Chile,8
China,190
Colombia,188
Denmark,58
Estonia,1
Finland,1
France,1828
Germany,389
Greece,18
Hong Kong SAR China,299
India,10
Indonesia,187
Ireland,6
Israel,5
Italy,2650
Japan,367
Kenya,6
Kuwait,17
Lebanon,38
Luxembourg,19
Macau SAR China,46
Madagascar,13
Malawi,5
Malaysia,129
Mali,4
Mauritius,50
Mexico,294
Monaco,11
Morocco,15
Mozambique,7
Netherlands,279
New Zealand,19
Nicaragua,13
Nigeria,7
Norway,7
Panama,6
Papua New Guinea,15
Peru,15
Philippines,48
Portugal,39
Qatar,6
Romania,1
Russia,32
San Marino,11
Senegal,45
Singapore,823
Slovenia,14
South Africa,219
South Korea,357
Spain,403
Sweden,7
Switzerland,2167
Thailand,492
Tunisia,17
Turkey,138
Ukraine,16
United Arab Emirates,118
United Kingdom,439
United States,680
Venezuela,4
Vietnam,115
Zambia,4
Zimbabwe,58
