"","target","source","flow"
"1","AD","AT",2
"2","AD","CH",2
"3","AD","DE",1
"4","AD","ES",2
"5","AD","FR",2
"6","AD","GB",2
"7","AD","IT",6
"8","AD","NL",1
"9","AE","AT",5
"10","AE","BE",3
"11","AE","BR",5
"12","AE","CH",46
"13","AE","CL",1
"14","AE","CO",1
"15","AE","DE",11
"16","AE","DK",1
"17","AE","ES",15
"18","AE","FI",1
"19","AE","FR",54
"20","AE","GB",18
"21","AE","HK",10
"22","AE","ID",6
"23","AE","IN",1
"24","AE","IT",62
"25","AE","JP",2
"26","AE","KW",13
"27","AE","NL",9
"28","AE","PT",4
"29","AE","SG",4
"30","AE","TH",15
"31","AE","US",3
"32","AE","ZA",4
"33","AG","CH",1
"34","AG","US",1
"35","AL","CH",2
"36","AL","DE",1
"37","AL","FR",2
"38","AL","IT",11
"39","AL","TH",1
"40","AM","AT",2
"41","AM","CH",2
"42","AM","DE",1
"43","AM","FR",3
"44","AM","ID",5
"45","AM","IT",16
"46","AM","TH",2
"47","AM","ZA",1
"48","AO","CH",1
"49","AO","FR",5
"50","AO","ZA",1
"51","AR","CH",5
"52","AR","CL",1
"53","AR","ES",3
"54","AR","FR",6
"55","AR","SG",1
"56","AR","TH",2
"57","AR","US",1
"58","AR","UY",1
"59","AT","CH",16
"60","AT","CN",3
"61","AT","CO",1
"62","AT","HK",2
"63","AT","JP",2
"64","AT","MY",1
"65","AT","NO",3
"66","AT","SG",2
"67","AT","TH",4
"68","AT","US",6
"69","AT","ZA",1
"70","AU","AT",2
"71","AU","BR",1
"72","AU","CH",26
"73","AU","CN",1
"74","AU","CO",1
"75","AU","DE",8
"76","AU","DK",1
"77","AU","ES",6
"78","AU","FR",25
"79","AU","GB",12
"80","AU","HK",15
"81","AU","ID",2
"82","AU","IT",29
"83","AU","JP",12
"84","AU","LU",1
"85","AU","MO",1
"86","AU","NL",9
"87","AU","NZ",1
"88","AU","PT",1
"89","AU","RO",1
"90","AU","SG",27
"91","AU","TH",11
"92","AU","US",3
"93","AU","ZA",4
"94","AU","ZW",1
"95","AW","CH",5
"96","AW","DE",1
"97","AW","FR",2
"98","AW","GB",1
"99","AW","IT",1
"100","AW","US",3
"101","AZ","AT",1
"102","AZ","CH",12
"103","AZ","DE",3
"104","AZ","FR",9
"105","AZ","IT",21
"106","AZ","NL",3
"107","BA","AT",1
"108","BA","CH",1
"109","BB","CH",1
"110","BB","FR",1
"111","BB","US",1
"112","BD","CH",1
"113","BD","TH",4
"114","BD","US",1
"115","BE","CA",2
"116","BE","CH",12
"117","BE","CN",3
"118","BE","HK",2
"119","BE","JP",5
"120","BE","LK",1
"121","BE","MA",2
"122","BE","MO",1
"123","BE","SG",2
"124","BE","TH",5
"125","BE","US",2
"126","BE","ZA",1
"127","BG","CH",5
"128","BG","ES",1
"129","BG","ID",1
"130","BG","TH",1
"131","BG","ZW",1
"132","BH","CH",18
"133","BH","DE",1
"134","BH","ES",3
"135","BH","FR",16
"136","BH","GB",3
"137","BH","ID",1
"138","BH","IT",9
"139","BH","JP",1
"140","BH","NL",3
"141","BH","SG",1
"142","BH","TH",6
"143","BL","FR",7
"144","BL","IT",23
"145","BL","US",8
"146","BM","AT",1
"147","BM","CH",1
"148","BM","FR",1
"149","BM","GB",5
"150","BM","US",1
"151","BN","CH",1
"152","BN","FR",3
"153","BN","HK",1
"154","BN","SG",1
"155","BN","US",1
"156","BO","BR",1
"157","BO","CH",1
"158","BO","US",1
"159","BR","AT",2
"160","BR","CH",15
"161","BR","ES",2
"162","BR","FR",25
"163","BR","GB",1
"164","BR","ID",2
"165","BR","IT",13
"166","BR","MY",2
"167","BR","PT",2
"168","BR","SG",2
"169","BR","TH",3
"170","BR","US",2
"171","BR","VN",1
"172","BS","CH",9
"173","BS","GB",1
"174","BS","IT",3
"175","BS","US",1
"176","BT","CH",1
"177","BT","TH",1
"178","BW","FR",1
"179","BW","ZW",1
"180","BY","CH",1
"181","BY","ES",1
"182","BY","GR",1
"183","BY","IT",8
"184","BY","TH",1
"185","BZ","CH",1
"186","BZ","TH",1
"187","BZ","US",1
"188","CA","AT",5
"189","CA","BE",9
"190","CA","BR",3
"191","CA","CH",25
"192","CA","CN",4
"193","CA","CO",2
"194","CA","DE",8
"195","CA","ES",8
"196","CA","FI",6
"197","CA","FR",22
"198","CA","GB",6
"199","CA","GR",1
"200","CA","HK",9
"201","CA","IT",38
"202","CA","JP",2
"203","CA","NL",8
"204","CA","PE",1
"205","CA","PT",1
"206","CA","RU",1
"207","CA","SG",2
"208","CA","TH",9
"209","CA","TR",2
"210","CA","US",60
"211","CD","CH",2
"212","CD","FR",5
