"","target","source","flow"
"1","AD","AT",2
"2","AD","CH",5
"3","AD","DE",2
"4","AD","ES",5
"5","AD","FR",2
"6","AD","IT",6
"7","AD","NL",1
"8","AE","AT",4
"9","AE","AU",1
"10","AE","BR",7
"11","AE","CH",50
"12","AE","CL",1
"13","AE","CO",2
"14","AE","DE",22
"15","AE","DK",1
"16","AE","ES",15
"17","AE","FI",1
"18","AE","FR",63
"19","AE","GB",25
"20","AE","ID",6
"21","AE","IN",1
"22","AE","IT",86
"23","AE","JP",2
"24","AE","KR",3
"25","AE","KW",7
"26","AE","LB",1
"27","AE","LU",3
"28","AE","MO",1
"29","AE","MX",1
"30","AE","NL",14
"31","AE","PT",3
"32","AE","QA",6
"33","AE","SG",7
"34","AE","SM",1
"35","AE","SN",5
"36","AE","TH",9
"37","AE","TR",2
"38","AE","US",15
"39","AE","VN",2
"40","AE","ZA",3
"41","AF","FR",1
"42","AF","IT",1
"43","AF","KR",4
"44","AF","NZ",1
"45","AG","CH",2
"46","AG","US",1
"47","AI","US",1
"48","AL","AT",1
"49","AL","CH",4
"50","AL","DE",1
"51","AL","FR",1
"52","AL","GB",1
"53","AL","IT",4
"54","AM","AT",2
"55","AM","CH",10
"56","AM","DE",5
"57","AM","FR",8
"58","AM","IT",26
"59","AM","SG",1
"60","AO","CH",4
"61","AO","DE",1
"62","AO","ES",1
"63","AO","FR",8
"64","AO","IT",4
"65","AO","PT",2
"66","AO","ZA",2
"67","AR","BR",1
"68","AR","CH",6
"69","AR","DE",1
"70","AR","ES",1
"71","AR","FR",12
"72","AR","IT",1
"73","AR","QA",1
"74","AR","TH",1
"75","AR","US",1
"76","AT","AE",3
"77","AT","AU",3
"78","AT","CA",1
"79","AT","CH",30
"80","AT","GE",1
"81","AT","HK",6
"82","AT","IL",1
"83","AT","JP",2
"84","AT","KR",2
"85","AT","LB",1
"86","AT","MU",1
"87","AT","MY",1
"88","AT","SG",4
"89","AT","SM",1
"90","AT","TH",3
"91","AT","TR",1
"92","AT","TW",2
"93","AT","TZ",1
"94","AT","US",6
"95","AT","ZA",2
"96","AU","AE",1
"97","AU","AT",3
"98","AU","BR",2
"99","AU","CA",5
"100","AU","CH",27
"101","AU","CN",3
"102","AU","DE",8
"103","AU","DK",1
"104","AU","ES",4
"105","AU","FR",42
"106","AU","GB",14
"107","AU","HK",18
"108","AU","HN",1
"109","AU","ID",3
"110","AU","IT",45
"111","AU","JP",11
"112","AU","KR",8
"113","AU","LA",1
"114","AU","LU",2
"115","AU","MO",1
"116","AU","MX",10
"117","AU","MY",1
"118","AU","NL",11
"119","AU","NZ",10
"120","AU","PG",2
"121","AU","PT",1
"122","AU","SE",1
"123","AU","SG",47
"124","AU","TH",8
"125","AU","TW",1
"126","AU","US",10
"127","AU","VN",2
"128","AU","ZA",17
"129","AW","CH",35
"130","AW","DE",3
"131","AW","ES",2
"132","AW","FR",4
"133","AW","IT",8
"134","AW","NL",2
"135","AW","US",9
"136","AZ","AT",2
"137","AZ","CH",21
"138","AZ","DE",9
"139","AZ","ES",7
"140","AZ","FR",19
"141","AZ","GB",6
"142","AZ","GR",1
"143","AZ","IT",42
"144","AZ","LB",1
"145","AZ","NL",1
"146","AZ","SN",1
"147","AZ","TH",2
"148","AZ","US",1
"149","BA","CH",1
"150","BA","IT",2
"151","BB","CH",3
"152","BB","FR",7
"153","BB","US",2
"154","BD","CH",1
"155","BD","JP",1
"156","BD","TH",2
"157","BE","AU",1
"158","BE","CA",4
"159","BE","CH",13
"160","BE","ID",1
"161","BE","KR",4
"162","BE","MA",4
"163","BE","MX",2
"164","BE","TH",4
"165","BE","US",4
"166","BE","VN",2
"167","BE","ZA",2
"168","BF","CH",1
"169","BF","FR",1
"170","BG","AU",1
"171","BG","CH",8
"172","BG","ID",1
"173","BG","TH",3
"174","BG","TR",1
"175","BH","AU",1
"176","BH","CH",16
"177","BH","CZ",1
"178","BH","DE",2
"179","BH","ES",1
"180","BH","FR",17
"181","BH","GB",1
"182","BH","IT",18
"183","BH","JP",1
"184","BH","NL",7
"185","BH","PT",1
"186","BH","SG",1
"187","BH","TH",6
"188","BH","US",2
"189","BJ","ES",2
"190","BL","AU",1
"191","BL","FR",11
"192","BL","IT",28
"193","BL","US",1
"194","BM","CH",1
"195","BM","ES",1
"196","BM","GB",1
"197","BM","IT",1
"198","BM","SG",1
"199","BM","US",1
"200","BN","CH",1
"201","BN","DE",1
"202","BN","FR",8
"203","BN","IT",1
"204","BN","SG",2
"205","BN","TH",1
"206","BO","AR",1
"207","BO","CH",1
"208","BO","IT",1
"209","BO","US",1
"210","BR","AT",3
"211","BR","AU",1
"212","BR","CH",16
"213","BR","DE",2
"214","BR","ES",4
"215","BR","FR",33
"216","BR","GB",1
"217","BR","ID",6
"218","BR","IT",29
"219","BR","LU",4
"220","BR","MX",2
"221","BR","MY",1
"222","BR","NL",1
"223","BR","PA",2
"224","BR","PT",1
"225","BR","SG",5
"226","BR","SN",1
"227","BR","TH",4
"228","BR","US",6
"229","BR","ZA",3
"230","BR","ZW",1
"231","BS","CH",8
"232","BS","DE",1
"233","BS","IT",15
"234","BS","NL",1
"235","BS","US",3
"236","BT","TH",2
"237","BW","ZA",2
"238","BY","AT",1
"239","BY","CH",3
"240","BY","DE",3
"241","BY","ES",1
"242","BY","FR",1
"243","BY","IT",19
"244","BY","LU",1
"245","BY","TH",2
"246","BZ","CH",1
"247","BZ","US",1
"248","CA","AT",4
"249","CA","AU",2
"250","CA","BR",2
"251","CA","CH",33
"252","CA","CN",2
"253","CA","CO",4
"254","CA","DE",8
"255","CA","DK",1
"256","CA","ES",9
"257","CA","FI",6
"258","CA","FR",33
"259","CA","GB",6
"260","CA","ID",1
"261","CA","IN",1
"262","CA","IT",43
"263","CA","JP",8
"264","CA","LB",3
"265","CA","LU",3
"266","CA","MX",10
"267","CA","NL",6
"268","CA","NO",1
"269","CA","RO",1
"270","CA","RU",1
"271","CA","SE",1
"272","CA","SG",2
"273","CA","TH",7
"274","CA","TR",3
"275","CA","US",65
"276","CA","ZA",2
"277","CA","ZW",2
"278","CC","US",5
"279","CD","CH",5
"280","CD","FR",1
"281","CD","IT",1
"282","CD","TR",1
"283","CG","CH",2
"284","CG","ES",1
"285","CG","FR",9
"286","CG","IT",3
"287","CH","AE",32
"288","CH","AT",22
"289","CH","AU",11
"290","CH","AZ",1
"291","CH","BB",1
"292","CH","BE",3
"293","CH","BG",1
"294","CH","BH",1
"295","CH","BO",1
"296","CH","BR",1
"297","CH","CA",8
"298","CH","CN",9
"299","CH","CY",1
"300","CH","CZ",2
"301","CH","DE",42
"302","CH","DK",2
"303","CH","DO",1
"304","CH","EE",1
"305","CH","ES",26
"306","CH","FI",2
"307","CH","FR",74
"308","CH","GB",28
"309","CH","GE",3
"310","CH","GR",4
"311","CH","HK",22
"312","CH","ID",6
"313","CH","IL",1
"314","CH","IN",3
"315","CH","IT",126
"316","CH","JO",1
"317","CH","JP",20
"318","CH","KR",13
"319","CH","KW",14
"320","CH","LB",3
