Country,exporter
Argentina,50
Australia,153
Austria,152
Belgium,65
Bolivia,18
Botswana,6
Brazil,126
Canada,181
Chad,1
Chile,10
China,206
Colombia,83
Denmark,33
Estonia,5
Finland,18
France,1638
Germany,364
Greece,15
Hong Kong SAR China,475
India,12
Indonesia,202
Ireland,9
Israel,8
Italy,2155
Japan,351
Kenya,5
Kuwait,61
Lebanon,40
Luxembourg,59
Macau SAR China,46
Madagascar,17
Malawi,9
Malaysia,132
Mali,1
Mauritius,24
Mexico,239
Monaco,52
Morocco,12
Mozambique,9
Netherlands,226
New Zealand,23
Nicaragua,10
Nigeria,1
Norway,16
Panama,18
Papua New Guinea,12
Peru,22
Philippines,27
Portugal,49
Qatar,54
Romania,10
Russia,25
San Marino,13
Senegal,55
Singapore,765
Slovenia,14
South Africa,169
South Korea,366
Spain,433
Sweden,7
Switzerland,1726
Thailand,482
Tunisia,10
Turkey,99
Ukraine,13
United Arab Emirates,162
United Kingdom,370
United States,477
Venezuela,3
Vietnam,135
Zambia,9
Zimbabwe,49
