Country,importer
Albania,16
Algeria,18
Andorra,29
Angola,20
Antigua & Barbuda,4
Argentina,38
Armenia,41
Aruba,24
Australia,304
Austria,68
Azerbaijan,120
Bahamas,22
Bahrain,68
Bangladesh,5
Barbados,17
Belarus,32
Belgium,51
Belize,3
Bermuda,13
Bolivia,3
Bosnia & Herzegovina,10
Brazil,132
British Virgin Islands,7
Brunei,7
Bulgaria,16
C<U+00F4>te d??Ivoire,12
Cambodia,16
Cameroon,7
Canada,271
Cayman Islands,8
Chile,28
China,647
Colombia,48
Congo - Brazzaville,11
Congo - Kinshasa,4
Costa Rica,24
Croatia,7
Cuba,2
Cura<U+00E7>ao,4
Cyprus,19
Czechia,23
Denmark,66
Dominica,3
Dominican Republic,35
Ecuador,16
Egypt,52
Estonia,9
Ethiopia,2
Finland,26
France,600
French Southern Territories,5
Gabon,9
Georgia,34
Germany,227
Ghana,3
Gibraltar,6
Greece,40
Guadeloupe,16
Guam,12
Guatemala,20
Haiti,5
Honduras,8
Hong Kong SAR China,506
Hungary,13
Iceland,17
India,92
Indonesia,90
Iran,30
Iraq,16
Ireland,9
Israel,72
Italy,544
Jamaica,9
Japan,756
Jordan,29
Kazakhstan,116
Kenya,12
Kuwait,145
Kyrgyzstan,2
Laos,11
Latvia,13
Lebanon,85
Libya,7
Liechtenstein,12
Lithuania,15
Luxembourg,10
Macau SAR China,164
Macedonia,10
Madagascar,9
Malaysia,251
Maldives,8
Malta,5
Mauritius,22
Mexico,201
Moldova,13
Monaco,102
Mongolia,17
Montenegro,10
Morocco,57
Mozambique,3
Myanmar (Burma),8
Nepal,6
Netherlands,63
New Caledonia,3
New Zealand,86
Nicaragua,4
Nigeria,59
North Korea,12
Norway,129
Oman,37
Pakistan,21
Panama,61
Papua New Guinea,9
Paraguay,7
Peru,24
Philippines,74
Poland,26
Portugal,35
Puerto Rico,9
Qatar,217
R??union,6
Romania,20
Russia,315
Saint Martin (French part),2
San Marino,10
Saudi Arabia,157
Senegal,11
Serbia,32
Singapore,466
Sint Maarten,6
Slovakia,8
Slovenia,10
South Africa,136
South Korea,658
Spain,164
Sri Lanka,5
St. Barth??lemy,20
St. Kitts & Nevis,4
St. Lucia,4
Suriname,1
Swaziland,9
Sweden,21
Switzerland,634
Taiwan,223
Tajikistan,2
Thailand,215
Tunisia,26
Turkey,353
Turkmenistan,23
Turks & Caicos Islands,4
U.S. Virgin Islands,9
Ukraine,135
United Arab Emirates,332
United Kingdom,149
United States,1481
Uruguay,12
Uzbekistan,43
Venezuela,17
Vietnam,139
Yemen,3
Zambia,5
Zimbabwe,8
