Country,exporter
Argentina,31
Australia,51
Austria,133
Belgium,86
Bolivia,9
Botswana,3
Brazil,108
Canada,126
Chad,1
Chile,9
China,116
Colombia,86
Denmark,19
Estonia,6
Finland,12
France,1435
Germany,314
Greece,12
Hong Kong SAR China,394
India,3
Indonesia,168
Ireland,3
Israel,3
Italy,1680
Japan,309
Kenya,8
Kuwait,39
Lebanon,5
Luxembourg,7
Macau SAR China,32
Madagascar,25
Malawi,1
Malaysia,137
Mali,1
Mauritius,16
Mexico,156
Monaco,30
Morocco,8
Mozambique,7
Netherlands,206
New Zealand,9
Nicaragua,8
Nigeria,5
Norway,12
Panama,5
Papua New Guinea,11
Peru,24
Philippines,21
Portugal,63
Qatar,39
Romania,9
Russia,29
San Marino,3
Senegal,12
Singapore,698
Slovenia,5
South Africa,116
South Korea,178
Spain,426
Sweden,3
Switzerland,1464
Thailand,563
Tunisia,5
Turkey,72
Ukraine,10
United Arab Emirates,90
United Kingdom,307
United States,417
Venezuela,2
Vietnam,152
Zambia,4
Zimbabwe,44
