Country,origin
Argentina,557
Australia,447
Austria,14
Austria-Hungary,39
Baden,39
Bavaria,39
Bolivia,369
Brazil,23
Brunswick,39
Cambodia,24
Cameroon,64
Canada,62
Chad,223
Channel Islands,39
China,8
Colombia,686
Czechoslovakia,39
France,23
German Democratic Republic,39
Germany,4
Guyana,23
Hamburg,39
Hanover,39
Hesse-Darmstadt,39
Hesse-Kassel,39
Hesse Electoral,39
Hesse Grand Ducal,39
India,4
Indonesia,1873
Israel,22
Italy,17
Japan,5
Kenya,25
Kosovo,39
Laos,747
Madagascar,64
Malawi,39
Malaysia,701
Mali,264
Mecklenburg Schwerin,39
Mexico,2
Modena,39
Mozambique,130
Nassau,39
Netherlands Antilles,39
Nigeria,5
Oldenburg,39
Orange Free State,39
Panama,7
Papua New Guinea,408
Paraguay,45
Parma,39
Peru,95
Philippines,15
Piedmont-Sardinia,39
Prussia,39
Republic of Vietnam,39
Russia,1
Sardinia,39
Saxe-Weimar-Eisenach,39
Saxony,39
Serbia and Montenegro,39
Singapore,56
Somaliland,39
South Africa,429
Sudan,87
Switzerland,9
Tanzania,17
Thailand,422
Togo,30
Tuscany,39
Two Sicilies,39
Uganda,2
United Arab Republic,39
United Province CA,39
United States,1843
Venezuela,239
Vietnam,1279
Wuerttemburg,39
W??rtemberg,39
Yemen Arab Republic,39
Yemen People's Republic,39
Yugoslavia,39
Zambia,239
Zanzibar,39
Zimbabwe,758
NA,2037
