source,target,value
Italy,leather products (small),11
Senegal,leather products (small),11
Thailand,skins,11
Peru,skins,11
Spain,skins,11
Japan,skins,11
Italy,skins,11
leather products (small),Alligator mississippiensis,395
leather products (small),Python reticulatus,305
leather products (small),Python reticulatus,259
leather products (small),Python reticulatus,254
leather products (small),Crocodylus niloticus,245
leather products (small),Crocodylus niloticus,224
leather products (small),Varanus niloticus,194
leather products (small),Crocodylus porosus,166
leather products (small),Crocodylus porosus,153
leather products (small),Crocodylus porosus,152
leather products (small),Alligator mississippiensis,145
leather products (small),Python bivittatus,144
leather products (small),Python bivittatus,132
leather products (small),Alligator mississippiensis,127
leather products (small),Alligator mississippiensis,124
leather products (small),Varanus niloticus,123
leather products (small),Crocodylus niloticus,121
leather products (small),Crocodylus porosus,109
leather products (small),Caiman crocodilus fuscus,107
leather products (small),Alligator mississippiensis,106
leather products (small),Varanus salvator,105
leather products (small),Varanus salvator,101
leather products (small),Caiman crocodilus,99
leather products (small),Python reticulatus,97
leather products (small),Caiman crocodilus fuscus,91
leather products (small),Python bivittatus,89
leather products (small),Python brongersmai,88
leather products (small),Crocodylus siamensis,87
leather products (small),Crocodylus niloticus,86
skins,Crocodylus niloticus,84
leather products (small),Varanus salvator,82
leather products (small),Alligator mississippiensis,81
leather products (small),Crocodylus niloticus,79
leather products (small),Varanus niloticus,79
leather products (small),Python brongersmai,78
leather products (small),Python reticulatus,74
leather products (small),Python reticulatus,74
leather products (large),Python reticulatus,71
skins,Python reticulatus,70
leather products (small),Alligator mississippiensis,69
leather products (small),Alligator mississippiensis,67
leather products (small),Caiman crocodilus,64
leather products (small),Caiman crocodilus crocodilus,63
leather products (small),Caiman crocodilus fuscus,60
leather products (small),Varanus niloticus,59
leather products (small),Python breitensteini,58
leather products (small),Salvator merianae,56
leather products (small),Caiman crocodilus crocodilus,54
leather products (small),Caiman crocodilus fuscus,52
leather products (small),Python reticulatus,52
leather products (small),Python reticulatus,51
leather products (small),Salvator merianae,51
leather products (small),Ptyas mucosus,50
leather products (small),Python breitensteini,49
leather products (small),Alligator mississippiensis,48
skins,Crocodylus porosus,48
skins,Python reticulatus,48
leather products (small),Eunectes notaeus,47
leather products (small),Salvator rufescens,47
skins,Crocodylus niloticus,47
leather products (small),Crocodylus niloticus,45
leather products (large),Python bivittatus,43
leather products (small),Crocodylus niloticus,43
leather products (small),Crocodylus niloticus,43
leather products (small),Python reticulatus,43
leather products (small),Crocodylus porosus,42
leather products (small),Varanus niloticus,42
skins,Python reticulatus,42
leather products (small),Python reticulatus,40
leather products (small),Varanus salvator,40
leather products (small),Alligator mississippiensis,39
leather products (small),Python reticulatus,38
leather products (small),Python reticulatus,38
leather products (small),Crocodylus niloticus,37
skins,Crocodylus porosus,36
skins,Python bivittatus,36
leather products (small),Alligator mississippiensis,35
leather products (small),Caiman crocodilus,35
leather products (small),Salvator rufescens,35
leather products (small),Tayassu pecari,35
