Country,exporter
Argentina,54
Australia,142
Austria,180
Belgium,60
Bolivia,20
Botswana,3
Brazil,164
Canada,244
Chad,3
Chile,7
China,203
Colombia,84
Denmark,30
Estonia,2
Finland,20
France,1807
Germany,416
Greece,25
Hong Kong SAR China,293
India,20
Indonesia,190
Ireland,7
Israel,14
Italy,2295
Japan,333
Kenya,4
Kuwait,60
Lebanon,34
Luxembourg,73
Macau SAR China,42
Madagascar,20
Malawi,8
Malaysia,115
Mali,2
Mauritius,29
Mexico,260
Monaco,23
Morocco,12
Mozambique,9
Netherlands,265
New Zealand,24
Nicaragua,8
Nigeria,3
Norway,24
Panama,11
Papua New Guinea,16
Peru,18
Philippines,29
Portugal,58
Qatar,37
Romania,6
Russia,28
San Marino,17
Senegal,42
Singapore,798
Slovenia,7
South Africa,229
South Korea,381
Spain,461
Sweden,23
Switzerland,1919
Thailand,422
Tunisia,8
Turkey,89
Ukraine,7
United Arab Emirates,170
United Kingdom,369
United States,568
Venezuela,6
Vietnam,131
Zambia,8
Zimbabwe,43
