Country,importer
Albania,17
Algeria,13
Andorra,19
Angola,7
Antigua & Barbuda,2
Argentina,24
Armenia,38
Aruba,14
Australia,202
Austria,53
Azerbaijan,59
Bahamas,9
Bahrain,80
Bangladesh,8
Barbados,3
Belarus,15
Belgium,64
Belize,5
Bermuda,9
Bolivia,10
Bosnia & Herzegovina,4
Brazil,98
British Virgin Islands,5
Brunei,10
Bulgaria,15
C<U+00F4>te d??Ivoire,5
Cambodia,36
Cameroon,4
Canada,233
Cayman Islands,11
Chile,31
China,524
Colombia,35
Congo - Brazzaville,4
Congo - Kinshasa,2
Costa Rica,6
Croatia,7
Cuba,2
Cura<U+00E7>ao,2
Cyprus,11
Czechia,15
Denmark,41
Dominica,3
Dominican Republic,19
Ecuador,10
Egypt,32
Estonia,9
Ethiopia,2
Finland,17
France,545
French Southern Territories,8
Gabon,2
Georgia,14
Germany,171
Ghana,4
Gibraltar,9
Greece,18
Guadeloupe,8
Guam,17
Guatemala,12
Haiti,4
Honduras,2
Hong Kong SAR China,619
Hungary,6
Iceland,9
India,72
Indonesia,106
Iran,27
Iraq,29
Ireland,8
Israel,59
Italy,470
Jamaica,6
Japan,634
Jordan,27
Kazakhstan,64
Kenya,3
Kuwait,143
Kyrgyzstan,5
Laos,11
Latvia,14
Lebanon,95
Libya,3
Liechtenstein,6
Lithuania,11
Luxembourg,8
Macau SAR China,97
Macedonia,3
Madagascar,18
Malaysia,222
Maldives,3
Malta,9
Mauritius,21
Mexico,201
Moldova,7
Monaco,82
Mongolia,14
Montenegro,14
Morocco,51
Mozambique,3
Myanmar (Burma),14
Nepal,6
Netherlands,60
New Caledonia,3
New Zealand,49
Nicaragua,3
Nigeria,29
North Korea,6
Norway,107
Oman,34
Pakistan,27
Panama,37
Papua New Guinea,8
Paraguay,7
Peru,11
Philippines,76
Poland,16
Portugal,38
Puerto Rico,8
Qatar,188
R??union,4
Romania,16
Russia,240
Saint Martin (French part),3
San Marino,7
Saudi Arabia,136
Senegal,8
Serbia,16
Singapore,414
Sint Maarten,1
Slovakia,13
Slovenia,9
South Africa,142
South Korea,382
Spain,127
Sri Lanka,7
St. Barth??lemy,44
St. Kitts & Nevis,5
St. Lucia,3
Suriname,3
Swaziland,2
Sweden,17
Switzerland,605
Taiwan,135
Tajikistan,1
Thailand,222
Tunisia,21
Turkey,226
Turkmenistan,23
Turks & Caicos Islands,3
U.S. Virgin Islands,7
Ukraine,90
United Arab Emirates,315
United Kingdom,125
United States,1224
Uruguay,7
Uzbekistan,44
Venezuela,11
Vietnam,195
Yemen,1
Zambia,3
Zimbabwe,13
