"origin","country"
"Argentina",437
"Australia",520
"Austria",5
"Bangladesh",1
"Benin",1
"Bolivia",381
"Botswana",1
"Brazil",47
"Brunei",1
"Cambodia",59
"Cameroon",51
"Canada",33
"Chad",179
"Chile",1
"China",10
"Colombia",586
"Finland",1
"France",13
"French Southern Territories",1
"Gabon",2
"Germany",1
"Guatemala",1
"Guinea",8
"Guyana",12
"Honduras",3
"Hong Kong",6
"Hungary",1
"India",9
"Indonesia",1904
"Israel",15
"Italy",6
"Japan",4
"Kenya",22
"Laos",445
"Madagascar",32
"Malawi",64
"Malaysia",488
"Mali",239
"Mauritius",2
"Mexico",15
"Mozambique",75
"Myanmar [Burma]",1
"Namibia",36
"Netherlands",2
"Nicaragua",2
"Niger",1
"Nigeria",5
"Palau",7
"Panama",4
"Papua New Guinea",390
"Paraguay",73
"Peru",74
"Philippines",49
"Russia",3
"Senegal",7
"Singapore",43
"South Africa",426
"South Korea",2
"Sudan",117
"Switzerland",5
"Taiwan",1
"Tanzania",14
"Thailand",257
"Togo",18
"Turkey",1
"Uganda",1
"Ukraine",1
"United Kingdom",1
"United States",1762
"Uruguay",2
"Vanuatu",1
"Venezuela",236
"Vietnam",1202
"Yemen",1
"Zambia",201
"Zimbabwe",971
